Μάθημα,Ημέρα,Ώρα,Διδάσκων,Αίθουσα
Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων,Δευτέρα,15:00-17:00,Τσώχου Α.,Αίθουσα 3
Επεξεργασία Ομιλίας και Ήχου,Δευτέρα,17:00-19:00,Καρύδης Ι.,Αίθουσα 1
Έξυπνα Περιβάλλοντα και Εφαρμογές,Δευτέρα,19:00-21:00,Χωριανόπουλος Κ.,Εργαστήριο Αρεταίος
Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων,Τρίτη,11:00-13:00,Τσώχου Α.,Αίθουσα 3
Ηλεκτρονική Διακυβέρνηση,Τρίτη,13:00-15:00,Κουρουθανάσης Π.,Αίθουσα 2
Παράλληλος Προγραμματισμός,Τρίτη,15:00-17:00,Στεφανιδάκης Μ.,Εργαστήριο Αρεταίος
Αποθήκες Δεδομένων και Εξόρυξης Γνώσης,Τρίτη,17:00-19:00,Έξαρχος Θ.,Αίθουσα 2
Κοινωνικός και Σημασιολογικός Ιστός,Τετάρτη,09:00-11:00,Μυλωνάς Φ.,Αίθουσα 1
Ηλεκτρονική Διακυβέρνηση,Τετάρτη,11:00-13:00,Κουρουθανάσης Π.,Αίθουσα 2
Αποθήκες Δεδομένων και Εξόρυξης Γνώσης,Τετάρτη,13:00-15:00,Κερμανίδου Κ.,Εργαστήριο Γαληνός
Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Τετάρτη,15:00-17:00,Πατέλη Α.,Αίθουσα 2
Παράλληλος Προγραμματισμός,Τετάρτη,17:00-19:00,Στεφανιδάκης Μ.,Εργαστήριο Αρεταίος
Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων,Πέμπτη,13:00-15:00,Πατέλη Α.,Αίθουσα 2
Κοινωνικός και Σημασιολογικός Ιστός,Πέμπτη,15:00-17:00,Στεφανιδάκης Μ.,Εργαστήριο Αρεταίος
Επεξεργασία Ομιλίας και Ήχου,Πέμπτη,17:00-19:00,Καρύδης Ι.,Εργαστήριο Γαληνός
Έξυπνα Περιβάλλοντα και Εφαρμογές,Παρασκευή,19:00-21:00,Χωριανόπουλος Κ.,Εργαστήριο Αρεταίος
